category,job_type,job_offer_id
motoring automotive jobs,"Permanent, full-time",169
estate agent jobs,"Permanent, part-time",170
factory jobs,"Temporary, full-time",171
law jobs,"Permanent, full-time",172
hr jobs,"Temporary, full-time",173
motoring automotive jobs,"Permanent, full-time",174
catering jobs,"Temporary, part-time",175
marketing jobs,"Permanent, full-time",176
factory jobs,"Permanent, full-time",177
marketing jobs,"Permanent, full-time",178
retail jobs,"Permanent, full-time",179
hr jobs,"Temporary, full-time",180
law jobs,"Permanent, full-time",181
factory jobs,"Permanent, full-time",182
motoring automotive jobs,"Permanent, full-time",183
retail jobs,"Permanent, full-time",184
law jobs,"Permanent, full-time",185
factory jobs,"Permanent, full-time",186
law jobs,"Permanent, full-time",187
catering jobs,"Temporary, part-time",188
estate agent jobs,"Permanent, full-time",189
estate agent jobs,"Permanent, full-time",190
retail jobs,"Permanent, full-time",191
law jobs,"Permanent, full-time",192
retail jobs,"Contract, full-time",193
motoring automotive jobs,"Permanent, full-time",194
factory jobs,"Permanent, full-time",195
retail jobs,"Permanent, full-time",196
motoring automotive jobs,"Permanent, full-time",197
retail jobs,"Permanent, full-time",198
catering jobs,"Permanent, full-time",199
retail jobs,"Permanent, full-time",200
motoring automotive jobs,"Permanent, full-time",201
factory jobs,"Permanent, full-time",202
retail jobs,"Permanent, full-time",203
retail jobs,"Permanent, full-time",204
motoring automotive jobs,"Permanent, full-time",205
retail jobs,"Permanent, full-time",206
factory jobs,"Permanent, full-time",207
retail jobs,"Permanent, full-time",208
marketing jobs,"Permanent, full-time",209
law jobs,"Permanent, full-time",210
retail jobs,"Permanent, full-time",211
law jobs,"Permanent, full-time",212
factory jobs,"Permanent, full-time",213
catering jobs,"Permanent, full-time",214
retail jobs,"Permanent, full-time",215
factory jobs,"Temporary, full-time",216
factory jobs,"Permanent, full-time",217
hr jobs,"Permanent, full-time",218
factory jobs,"Permanent, full-time",219
retail jobs,"Permanent, full-time",220
law jobs,"Permanent, full-time",221
factory jobs,"Permanent, full-time",222
factory jobs,"Contract, full-time",223
law jobs,"Permanent, full-time",224
factory jobs,"Temporary, full-time",225
motoring automotive jobs,"Permanent, full-time",226
hr jobs,"Permanent, full-time",227
marketing jobs,"Permanent, full-time",228
catering jobs,"Permanent, full-time",229
catering jobs,"Permanent, full-time",230
catering jobs,"Permanent, full-time",231
motoring automotive jobs,"Permanent, full-time",232
retail jobs,"Permanent, full-time",233
hr jobs,"Permanent, full-time",234
factory jobs,"Temporary, full-time",235
factory jobs,"Permanent, full-time",236
law jobs,"Contract, full-time",237
catering jobs,"Permanent, full-time",238
factory jobs,"Temporary, full-time",239
retail jobs,"Temporary, part-time",240
hr jobs,"Permanent, full-time",241
catering jobs,"Permanent, full-time",242
marketing jobs,"Permanent, full-time",243
motoring automotive jobs,"Permanent, full-time",244
marketing jobs,"Contract, full-time",245
catering jobs,"Permanent, full-time",246
hr jobs,"Permanent, part-time",247
catering jobs,"Permanent, full-time",248
retail jobs,"Permanent, full-time",249
factory jobs,"Permanent, full-time",250
law jobs,"Permanent, full-time",251
hr jobs,"Permanent, full-time",252
factory jobs,"Permanent, full-time",253
law jobs,"Permanent, full-time",254
catering jobs,"Permanent, full-time",255
catering jobs,"Permanent, full-time",256
retail jobs,"Permanent, full-time",257
catering jobs,"Permanent, full-time",258
factory jobs,"Temporary, part-time",259
factory jobs,"Temporary, full-time",260
motoring automotive jobs,"Permanent, full-time",261
retail jobs,"Contract, part-time",262
retail jobs,"Permanent, full-time",263
factory jobs,"Permanent, full-time",264
retail jobs,"Permanent, full-time",265
retail jobs,"Temporary, part-time",266
retail jobs,"Contract, full-time",267
motoring automotive jobs,"Permanent, full-time",268
factory jobs,"Permanent, full-time",269
motoring automotive jobs,"Permanent, full-time",270
law jobs,"Permanent, full-time",271
retail jobs,"Contract, part-time",272
motoring automotive jobs,"Permanent, full-time",273
retail jobs,"Permanent, full-time",274
retail jobs,"Permanent, full-time",275
catering jobs,"Permanent, part-time",276
hr jobs,"Permanent, full-time",277
law jobs,"Permanent, full-time",278
factory jobs,"Permanent, full-time",279
hr jobs,"Contract, full-time",280
law jobs,"Permanent, full-time",281
retail jobs,"Permanent, full-time",282
retail jobs,"Permanent, full-time",283
catering jobs,"Permanent, full-time",284
motoring automotive jobs,"Permanent, full-time",285
factory jobs,"Permanent, full-time",286
motoring automotive jobs,"Permanent, full-time",287
catering jobs,"Permanent, full-time",288
retail jobs,"Temporary, full-time",289
retail jobs,"Temporary, full-time",290
law jobs,"Permanent, full-time",291
estate agent jobs,"Permanent, full-time",292
hr jobs,"Contract, full-time",293
motoring automotive jobs,"Permanent, full-time",294
catering jobs,"Temporary, full-time",295
motoring automotive jobs,"Permanent, full-time",296
motoring automotive jobs,"Permanent, full-time",297
motoring automotive jobs,"Permanent, full-time",298
law jobs,"Permanent, full-time",299
hr jobs,"Permanent, full-time",300
law jobs,"Temporary, full-time or part-time",301
motoring automotive jobs,"Permanent, full-time",302
motoring automotive jobs,"Permanent, full-time",303
motoring automotive jobs,"Permanent, full-time",304
estate agent jobs,"Permanent, full-time",305
retail jobs,"Permanent, full-time",306
retail jobs,"Permanent, full-time",307
factory jobs,"Permanent, full-time",308
retail jobs,"Permanent, full-time",309
hr jobs,"Permanent, full-time",310
motoring automotive jobs,"Permanent, full-time",311
factory jobs,"Permanent, full-time",312
catering jobs,"Permanent, full-time",313
catering jobs,"Permanent, full-time",314
retail jobs,"Permanent, full-time",315
hr jobs,"Permanent, part-time",316
motoring automotive jobs,"Permanent, full-time",317
motoring automotive jobs,"Permanent, full-time",318
marketing jobs,"Permanent, full-time",319
factory jobs,"Permanent, full-time",320
motoring automotive jobs,"Permanent, full-time",321
motoring automotive jobs,"Permanent, full-time",322
retail jobs,"Permanent, full-time",323
factory jobs,"Temporary, full-time",324
estate agent jobs,"Permanent, full-time",325
law jobs,"Permanent, full-time",326
law jobs,"Permanent, full-time",327
marketing jobs,"Permanent, full-time",328
retail jobs,"Temporary, full-time",329
factory jobs,"Permanent, full-time",330
catering jobs,"Permanent, full-time",331
factory jobs,"Permanent, full-time",332
law jobs,"Contract, full-time",333
law jobs,"Permanent, full-time",334
retail jobs,"Permanent, full-time",335
estate agent jobs,"Permanent, full-time",336
law jobs,"Permanent, full-time or part-time",337
estate agent jobs,"Permanent, full-time",338
motoring automotive jobs,"Contract, full-time",339
law jobs,"Permanent, full-time",340
law jobs,"Permanent, full-time",341
hr jobs,"Contract, full-time",342
retail jobs,"Permanent, full-time",343
factory jobs,"Temporary, full-time",344
law jobs,"Contract, full-time",345
catering jobs,"Permanent, full-time",346
factory jobs,"Permanent, full-time",347
law jobs,"Permanent, full-time",348
motoring automotive jobs,"Permanent, full-time",349
catering jobs,"Permanent, full-time",350
retail jobs,"Permanent, full-time",351
catering jobs,"Permanent, part-time",352
motoring automotive jobs,"Permanent, full-time",353
law jobs,"Permanent, full-time",354
marketing jobs,"Permanent, full-time",355
motoring automotive jobs,"Permanent, full-time",356
law jobs,"Permanent, full-time",357
law jobs,"Permanent, full-time",358
law jobs,"Contract, full-time or part-time",359
factory jobs,"Temporary, full-time",360
factory jobs,"Temporary, full-time",361
law jobs,"Permanent, full-time",362
catering jobs,"Permanent, full-time",363
factory jobs,"Permanent, full-time",364
factory jobs,"Permanent, full-time",365
retail jobs,"Permanent, full-time",366
law jobs,"Permanent, full-time",367
retail jobs,"Permanent, full-time",368
retail jobs,"Permanent, full-time",369
law jobs,"Contract, full-time",370
law jobs,"Permanent, full-time",371
hr jobs,"Permanent, full-time",372
retail jobs,"Permanent, part-time",373
hr jobs,"Temporary, full-time",374
catering jobs,"Contract, full-time or part-time",375
catering jobs,"Permanent, full-time",376
catering jobs,"Contract, full-time or part-time",377
retail jobs,"Temporary, full-time",378
marketing jobs,"Permanent, full-time",379
law jobs,"Permanent, full-time",380
factory jobs,"Temporary, full-time",381
factory jobs,"Permanent, full-time",382
motoring automotive jobs,"Permanent, full-time",383
factory jobs,"Permanent, full-time",384
retail jobs,"Permanent, full-time",385
catering jobs,"Permanent, full-time",386
motoring automotive jobs,"Permanent, full-time",387
marketing jobs,"Permanent, full-time",388
retail jobs,"Permanent, part-time",389
motoring automotive jobs,"Permanent, full-time",390
factory jobs,"Permanent, full-time",391
hr jobs,"Permanent, full-time",392
factory jobs,"Temporary, full-time",393
hr jobs,"Contract, full-time",394
retail jobs,"Permanent, full-time",395
retail jobs,"Permanent, full-time",396
hr jobs,"Permanent, full-time",397
factory jobs,"Permanent, full-time",398
law jobs,"Permanent, full-time",399
catering jobs,"Temporary, part-time",400
retail jobs,"Temporary, part-time",401
motoring automotive jobs,"Permanent, full-time",402
catering jobs,"Permanent, full-time or part-time",403
retail jobs,"Permanent, full-time",404
law jobs,"Contract, full-time",405
factory jobs,"Contract, full-time",406
law jobs,"Permanent, full-time",407
factory jobs,"Temporary, full-time",408
factory jobs,"Permanent, full-time",409
motoring automotive jobs,"Permanent, full-time",410
motoring automotive jobs,"Permanent, full-time",411
motoring automotive jobs,"Permanent, full-time",412
estate agent jobs,"Permanent, full-time",413
law jobs,"Temporary, full-time",414
law jobs,"Permanent, full-time",415
law jobs,"Permanent, full-time",416
factory jobs,"Permanent, full-time",417
factory jobs,"Permanent, full-time",418
catering jobs,"Permanent, full-time",419
motoring automotive jobs,"Permanent, full-time",420
law jobs,"Permanent, full-time",421
retail jobs,"Permanent, full-time",422
marketing jobs,"Permanent, full-time",423
motoring automotive jobs,"Permanent, full-time",424
hr jobs,"Permanent, full-time",425
factory jobs,"Permanent, full-time",426
law jobs,"Permanent, full-time",427
factory jobs,"Permanent, full-time",428
retail jobs,"Permanent, full-time",429
law jobs,"Permanent, full-time",430
catering jobs,"Permanent, full-time",431
hr jobs,"Permanent, full-time",432
retail jobs,"Permanent, full-time",433
marketing jobs,"Permanent, full-time",434
motoring automotive jobs,"Permanent, full-time",435
retail jobs,"Permanent, full-time",436
factory jobs,"Permanent, full-time",437
retail jobs,"Permanent, full-time",438
motoring automotive jobs,"Permanent, full-time",439
retail jobs,"Permanent, full-time",440
